time,open,high,low,close,volume,ticker
2006-12-21,66.48,66.48,25.64,28.49,15200,SVC
2006-12-22,28.21,31.34,28.21,28.21,9800,SVC
2006-12-25,26.59,27.54,26.46,26.46,9500,SVC
2006-12-26,24.41,24.41,24.03,24.03,17000,SVC
2006-12-27,21.67,24.07,21.67,24.07,44500,SVC
2006-12-28,24.31,24.31,23.74,24.07,26100,SVC
2006-12-29,24.22,24.31,23.74,23.74,35100,SVC
2007-01-02,23.74,23.93,21.62,23.74,16700,SVC
2007-01-03,20.89,22.41,20.29,20.29,51700,SVC
2007-01-04,20.63,21.84,19.37,21.84,87800,SVC
2007-01-05,22.79,22.85,22.03,22.85,29800,SVC
2007-01-08,25.07,25.07,24.5,25.07,107500,SVC
2007-01-09,25.83,27.52,25.07,25.36,34600,SVC
2007-01-10,25.64,25.83,24.31,24.31,92200,SVC
2007-01-11,25.64,25.64,23.95,23.95,17900,SVC
2007-01-12,24.69,24.69,23.95,23.95,29700,SVC
2007-01-15,24.43,24.43,21.9,22.79,34200,SVC
2007-01-16,22.79,23.93,22.79,23.74,90800,SVC
2007-01-17,23.36,23.93,22.51,22.79,55700,SVC
2007-01-18,22.79,23.36,22.79,22.79,42000,SVC
2007-01-19,22.98,23.74,22.79,23.46,81900,SVC
2007-01-22,23.55,24.69,21.08,23.46,28600,SVC
2007-01-23,22.79,22.79,21.84,22.41,46500,SVC
2007-01-24,22.79,23.74,22.41,22.79,90500,SVC
2007-01-25,23.55,23.76,21.84,22.6,55900,SVC
2007-01-26,22.03,22.98,22.03,22.98,91300,SVC
2007-01-29,23.74,24.12,23.27,23.72,115000,SVC
2007-01-30,23.74,25.83,23.74,25.64,148700,SVC
2007-01-31,27.05,27.05,26.59,27.05,61800,SVC
2007-02-01,29.73,29.73,29.73,29.73,53200,SVC
2007-02-02,32.69,32.69,29.44,30.39,137000,SVC
2007-02-05,32.1,32.29,28.3,28.3,63400,SVC
2007-02-06,28.87,28.87,26.0,26.59,85900,SVC
2007-02-07,26.59,29.0,26.59,29.0,46200,SVC
2007-02-08,29.44,29.44,26.59,28.11,40400,SVC
2007-02-09,27.73,27.73,25.13,26.78,30700,SVC
2007-02-12,27.54,27.73,26.61,27.54,30600,SVC
2007-02-13,28.49,28.49,27.35,27.52,33000,SVC
2007-02-14,28.3,28.49,27.5,28.3,53200,SVC
2007-02-15,29.06,29.44,28.49,28.61,26400,SVC
2007-02-26,31.34,31.53,30.11,31.53,121600,SVC
2007-02-27,32.29,33.62,30.39,31.91,93400,SVC
2007-02-28,31.34,31.91,30.01,30.01,74200,SVC
2007-03-01,29.82,30.39,29.82,30.01,49100,SVC
2007-03-02,31.34,31.34,29.82,30.01,34000,SVC
2007-03-05,33.24,33.24,31.53,32.29,57100,SVC
2007-03-06,32.67,33.62,30.58,32.58,60400,SVC
2007-03-07,33.24,33.24,31.91,31.91,39200,SVC
2007-03-08,32.65,32.65,31.53,31.89,23300,SVC
2007-03-09,31.91,32.25,31.34,31.72,47500,SVC
2007-03-12,30.77,31.72,29.44,30.39,61800,SVC
2007-03-13,30.39,30.49,29.82,30.01,54500,SVC
2007-03-14,28.49,28.49,27.54,30.01,31100,SVC
2007-03-15,28.11,28.11,25.83,27.54,35700,SVC
2007-03-16,28.11,29.42,27.16,29.42,25800,SVC
2007-03-19,29.44,31.17,29.44,29.82,57700,SVC
2007-03-20,30.39,30.39,28.49,28.49,22300,SVC
2007-03-21,28.11,29.61,27.73,28.11,27400,SVC
2007-03-22,28.11,28.4,27.35,28.3,18600,SVC
2007-03-23,27.54,27.54,26.59,27.35,37200,SVC
2007-03-26,26.61,26.61,24.62,27.35,12100,SVC
2007-03-27,22.98,23.17,22.98,27.35,18600,SVC
2007-03-28,20.69,25.28,20.69,25.28,15400,SVC
2007-03-29,24.39,24.39,24.39,24.39,6700,SVC
2007-03-30,21.96,26.78,21.96,24.39,76700,SVC
2007-04-02,24.5,24.5,22.89,23.74,14200,SVC
2007-04-03,22.6,23.74,22.22,23.17,24100,SVC
2007-04-04,20.7,23.74,20.55,23.55,13000,SVC
2007-04-05,23.59,23.59,22.6,22.98,22300,SVC
2007-04-06,22.89,22.98,21.46,22.41,47200,SVC
2007-04-09,22.79,23.55,22.03,22.79,30400,SVC
2007-04-10,22.79,22.79,22.24,22.7,15500,SVC
2007-04-11,22.58,22.6,22.41,22.6,11400,SVC
2007-04-12,22.41,22.41,21.65,21.75,15300,SVC
2007-04-13,21.84,21.84,20.69,20.89,27700,SVC
2007-04-16,20.51,20.51,19.18,19.18,25400,SVC
2007-04-17,18.23,19.37,17.85,18.23,26000,SVC
2007-04-18,18.42,20.27,18.42,20.27,25400,SVC
2007-04-19,20.89,21.84,19.56,20.51,46400,SVC
2007-04-20,18.99,20.51,18.71,18.99,15200,SVC
2007-04-23,18.23,18.99,18.23,18.99,11500,SVC
2007-04-24,18.61,18.99,18.61,18.9,16100,SVC
2007-04-25,18.99,20.78,18.99,19.94,30500,SVC
2007-05-02,20.89,20.89,19.75,19.94,19600,SVC
2007-05-03,19.94,20.0,19.77,19.94,9500,SVC
2007-05-04,19.56,19.94,19.37,19.56,17000,SVC
2007-05-07,20.23,20.76,19.75,20.13,13800,SVC
2007-05-08,20.15,20.51,19.94,19.94,24400,SVC
2007-05-09,20.51,20.51,19.75,19.94,10700,SVC
2007-05-10,19.75,19.85,19.37,19.56,6500,SVC
2007-05-11,19.56,20.13,19.56,20.13,14600,SVC
2007-05-14,19.75,21.27,19.75,20.51,29100,SVC
2007-05-15,21.18,21.25,20.38,20.38,22900,SVC
2007-05-16,20.32,20.34,20.13,20.34,9300,SVC
2007-05-17,19.94,20.7,19.94,20.51,15100,SVC
2007-05-18,20.32,20.7,20.32,20.51,17900,SVC
2007-05-21,20.89,21.25,20.32,20.7,31600,SVC
2007-05-22,20.89,21.84,20.89,21.65,34600,SVC
2007-05-23,22.79,22.79,21.84,22.22,42300,SVC
2007-05-24,22.03,22.41,21.27,21.48,39500,SVC
2007-05-25,21.27,22.03,21.27,22.0,11000,SVC
2007-05-28,21.94,22.03,21.56,21.65,13400,SVC
2007-05-29,21.27,21.65,21.27,21.27,11800,SVC
2007-05-30,21.46,21.46,20.7,20.89,6600,SVC
2007-05-31,20.51,21.08,20.51,20.89,11000,SVC
2007-06-01,21.08,21.08,20.89,20.89,5500,SVC
2007-06-04,20.51,20.51,20.31,20.32,5100,SVC
2007-06-05,20.53,20.53,19.56,19.56,15700,SVC
2007-06-06,19.37,19.94,19.37,19.94,19600,SVC
2007-06-07,19.94,20.04,19.18,19.75,12000,SVC
