time,open,high,low,close,volume,ticker
2022-01-25,26.3,26.3,26.3,26.3,2400,VUA
2022-01-26,30.16,30.16,30.16,30.16,2500,VUA
2022-01-27,34.61,34.61,34.61,34.61,2300,VUA
2022-01-28,39.75,39.75,38.07,39.56,235100,VUA
2022-02-07,39.56,45.29,39.56,45.19,318000,VUA
2022-02-08,44.3,45.69,42.72,43.31,379000,VUA
2022-02-09,43.31,47.47,41.34,46.48,378800,VUA
2022-02-10,44.3,44.3,42.52,42.72,355300,VUA
2022-02-11,43.31,44.7,42.23,43.02,334500,VUA
2022-02-14,43.51,44.01,41.53,42.52,335700,VUA
2022-02-15,42.82,43.51,41.53,43.51,403100,VUA
2022-02-16,43.02,43.71,41.04,42.72,425300,VUA
2022-02-17,43.02,44.5,42.23,43.81,338800,VUA
2022-02-18,43.02,43.51,41.53,42.03,329700,VUA
2022-02-21,42.62,45.69,41.93,44.4,354200,VUA
2022-02-22,43.71,44.01,42.03,42.82,347200,VUA
2022-02-23,43.02,44.8,43.02,44.8,334300,VUA
2022-02-24,44.1,45.09,42.52,43.41,334500,VUA
2022-02-25,43.91,45.88,43.81,45.59,501100,VUA
2022-02-28,44.99,46.48,44.9,45.79,333900,VUA
2022-03-01,45.59,46.18,44.9,45.88,412300,VUA
2022-03-02,45.39,45.59,43.51,44.5,313300,VUA
2022-03-03,44.8,45.59,44.5,45.59,356800,VUA
2022-03-04,45.09,46.87,45.09,46.38,349500,VUA
2022-03-07,46.28,46.77,45.39,46.77,323100,VUA
2022-03-08,45.98,47.57,45.88,46.58,314300,VUA
2022-03-09,46.48,47.07,44.8,46.08,333900,VUA
2022-03-10,46.08,46.97,45.49,45.69,319800,VUA
2022-03-11,46.18,46.48,44.5,45.09,325900,VUA
2022-03-14,45.49,45.98,43.71,44.5,347300,VUA
2022-03-15,44.7,45.39,43.91,44.99,438700,VUA
2022-03-16,44.8,45.88,44.8,45.59,317900,VUA
2022-03-17,45.19,46.18,45.19,45.49,368700,VUA
2022-03-18,45.69,45.69,44.3,45.59,331100,VUA
2022-03-21,45.09,46.08,45.09,45.79,526300,VUA
2022-03-22,45.59,46.58,45.49,46.48,601200,VUA
2022-03-23,45.98,46.48,44.99,45.49,462800,VUA
2022-03-24,45.59,46.18,45.49,45.79,374400,VUA
2022-03-25,45.88,46.18,44.99,44.99,286000,VUA
2022-03-28,45.39,45.39,44.5,44.99,313900,VUA
2022-03-29,44.9,45.39,44.7,45.29,325400,VUA
2022-03-30,45.19,45.49,43.91,44.2,249500,VUA
2022-03-31,44.8,44.9,44.5,44.6,276300,VUA
2022-04-01,44.6,44.9,44.3,44.8,301300,VUA
2022-04-04,44.6,44.9,44.6,44.7,305900,VUA
2022-04-05,44.7,45.7,44.7,45.6,314500,VUA
2022-04-06,45.8,46.4,45.5,46.2,326100,VUA
2022-04-07,46.2,46.6,46.1,46.4,317700,VUA
2022-04-08,46.7,46.7,45.7,46.5,324000,VUA
2022-04-12,46.0,46.8,46.0,46.4,360600,VUA
2022-04-13,46.5,47.9,46.5,47.9,402500,VUA
2022-04-14,47.3,48.0,46.9,47.1,304500,VUA
2022-04-15,47.1,47.3,46.1,46.1,357000,VUA
2022-04-18,46.6,46.6,44.9,45.5,184400,VUA
2022-04-19,45.0,46.0,44.7,44.7,315700,VUA
