time,open,high,low,close,volume,ticker
2009-10-21,9.41,9.85,8.96,8.96,49000,BED
2009-10-22,9.26,9.26,8.72,8.72,18600,BED
2009-10-23,8.15,8.15,8.15,8.15,12500,BED
2009-10-26,7.58,7.58,7.58,7.58,100,BED
2009-10-27,7.08,7.08,7.08,7.08,100,BED
2009-10-28,6.6,6.6,6.6,6.6,17100,BED
2009-10-29,6.15,6.15,6.15,6.15,2600,BED
2009-10-30,5.73,6.15,5.73,5.73,57500,BED
2009-11-02,5.35,5.52,5.35,5.35,22600,BED
2009-11-03,4.99,5.7,4.99,5.7,16200,BED
2009-11-04,5.58,5.58,5.58,5.58,11000,BED
2009-11-05,5.97,5.97,5.94,5.97,9800,BED
2009-11-06,6.39,6.39,6.06,6.15,25100,BED
2009-11-09,6.39,6.39,5.88,5.88,5800,BED
2009-11-10,6.27,6.27,5.52,5.52,2300,BED
2009-11-11,5.94,5.94,5.2,5.67,800,BED
2009-11-12,5.88,5.88,5.32,5.32,2700,BED
2009-11-13,5.82,5.82,5.38,5.52,1200,BED
2009-11-16,5.38,5.88,5.38,5.88,1300,BED
2009-11-17,5.94,5.94,5.29,5.32,5000,BED
2009-11-18,5.61,5.61,5.08,5.46,3400,BED
2009-11-19,5.46,5.46,5.02,5.17,7400,BED
2009-11-20,5.35,5.35,5.08,5.08,1900,BED
2009-11-23,4.93,4.93,4.93,4.93,2000,BED
2009-11-24,4.78,4.78,4.66,4.69,8400,BED
2009-11-25,5.05,5.05,5.05,5.05,200,BED
2009-11-26,5.23,5.23,4.72,4.72,5300,BED
2009-11-27,4.42,4.87,4.42,4.48,4100,BED
2009-11-30,4.78,4.87,4.78,4.87,1300,BED
2009-12-01,5.11,5.17,5.11,5.14,7800,BED
2009-12-02,5.41,5.41,4.81,4.81,9800,BED
2009-12-03,5.02,5.02,4.63,4.63,9100,BED
2009-12-04,4.93,4.93,4.93,4.93,1400,BED
2009-12-07,5.08,5.08,4.93,4.93,1500,BED
2009-12-08,4.93,4.93,4.93,4.93,100,BED
2009-12-09,4.63,4.63,4.6,4.6,700,BED
2009-12-10,4.33,4.33,4.33,4.33,1100,BED
2009-12-11,4.33,4.33,4.33,4.33,500,BED
2009-12-14,4.33,4.33,4.33,4.33,0,BED
2009-12-15,4.57,4.6,4.57,4.6,4000,BED
2009-12-16,4.27,4.27,4.27,4.27,500,BED
2009-12-17,4.33,4.57,4.33,4.33,1200,BED
2009-12-18,4.54,4.54,4.54,4.54,500,BED
2009-12-21,4.72,4.72,4.72,4.72,200,BED
2009-12-22,4.78,4.9,4.78,4.9,7600,BED
2009-12-23,4.57,4.57,4.57,4.57,100,BED
2009-12-24,4.57,4.72,4.57,4.72,4900,BED
2009-12-25,4.78,4.78,4.78,4.78,400,BED
2009-12-28,4.45,4.45,4.45,4.45,1500,BED
2009-12-29,4.18,4.72,4.15,4.72,700,BED
2009-12-30,4.51,4.51,4.48,4.48,5000,BED
2009-12-31,4.48,4.48,4.48,4.48,0,BED
2010-01-04,4.63,4.63,4.63,4.63,2700,BED
2010-01-05,4.33,4.78,4.33,4.78,2000,BED
2010-01-06,4.75,4.93,4.75,4.9,10000,BED
2010-01-07,4.81,4.81,4.81,4.81,100,BED
2010-01-08,4.81,4.81,4.81,4.81,0,BED
2010-01-11,4.63,4.63,4.48,4.48,6100,BED
2010-01-12,4.63,4.63,4.21,4.21,2100,BED
2010-01-13,4.36,4.36,4.36,4.36,4600,BED
2010-01-14,4.42,4.66,4.42,4.63,3900,BED
2010-01-15,4.63,4.63,4.63,4.63,0,BED
2010-01-18,4.63,4.63,4.63,4.63,0,BED
2010-01-19,4.36,4.36,4.36,4.36,100,BED
2010-01-20,4.6,4.66,4.48,4.63,5700,BED
2010-01-21,4.54,4.72,4.54,4.72,2400,BED
2010-01-22,4.72,4.72,4.72,4.72,0,BED
2010-01-25,4.63,4.84,4.27,4.84,2700,BED
2010-01-26,4.84,4.84,4.84,4.84,0,BED
2010-01-27,4.33,4.33,4.33,4.33,7500,BED
2010-01-28,4.63,4.63,4.63,4.63,100,BED
2010-01-29,4.48,4.48,4.48,4.48,100,BED
2010-02-01,4.48,4.48,4.48,4.48,0,BED
2010-02-02,4.33,4.33,4.18,4.18,10000,BED
2010-02-03,4.18,4.18,4.18,4.18,0,BED
2010-02-04,4.24,4.42,4.24,4.42,1000,BED
2010-02-05,4.03,4.03,4.03,4.03,10000,BED
2010-02-08,3.79,3.79,3.79,3.79,100,BED
2010-02-09,3.79,3.79,3.79,3.79,0,BED
2010-02-10,3.58,3.58,3.58,3.58,100,BED
2010-02-11,3.58,3.82,3.58,3.82,600,BED
2010-02-12,3.82,3.82,3.82,3.82,0,BED
